invoice_no,date,workshop,vehicle_id,plate,make_model,odometer_km,kind,subtotal,vat,total,pdf_file
INV-12328120,2024-10-02,יואב חשמל ופנסים (בדיקה),VH-02,64-132-13,Toyota Corolla,11681,routine,599.44,101.9,701.34,INV-12328120_VH-02.pdf
INV-71349361,2023-08-26,יוסי צמיגים ופרונט (בדיקה),VH-02,64-132-13,Toyota Corolla,14708,routine,920.65,156.51,1077.16,INV-71349361_VH-02.pdf
INV-49947174,2023-03-15,יואב חשמל ופנסים (בדיקה),VH-02,64-132-13,Toyota Corolla,16505,routine,660.2,112.23,772.43,INV-49947174_VH-02.pdf
INV-65940139,2024-03-24,מוסך צי צפון (בדיקה),VH-02,64-132-13,Toyota Corolla,19284,routine,661.78,112.5,774.28,INV-65940139_VH-02.pdf
INV-27874296,2024-08-13,עובד חלפים מקוריים (בדיקה),VH-02,64-132-13,Toyota Corolla,22438,routine,530.36,90.16,620.52,INV-27874296_VH-02.pdf
INV-12567468,2024-02-23,עובד חלפים מקוריים (בדיקה),VH-02,64-132-13,Toyota Corolla,24588,routine,585.41,99.52,684.93,INV-12567468_VH-02.pdf
INV-08760385,2024-02-18,יוסי צמיגים ופרונט (בדיקה),VH-02,64-132-13,Toyota Corolla,27883,routine,899.27,152.88,1052.15,INV-08760385_VH-02.pdf
INV-77109324,2023-05-15,יוסי צמיגים ופרונט (בדיקה),VH-02,64-132-13,Toyota Corolla,31411,tires,2261.33,384.43,2645.76,INV-77109324_VH-02.pdf
INV-27484677,2023-05-01,יוסי צמיגים ופרונט (בדיקה),VH-02,64-132-13,Toyota Corolla,34303,lights,418.86,71.21,490.07,INV-27484677_VH-02.pdf
INV-21465840,2024-06-04,מוסך צי צפון (בדיקה),VH-02,64-132-13,Toyota Corolla,37419,spark_plugs,971.95,165.23,1137.18,INV-21465840_VH-02.pdf
INV-58867533,2024-04-02,יואב חשמל ופנסים (בדיקה),VH-03,87-127-81,Hyundai i10,6047,routine,1038.99,176.63,1215.62,INV-58867533_VH-03.pdf
INV-66270289,2023-11-22,יוסי צמיגים ופרונט (בדיקה),VH-03,87-127-81,Hyundai i10,7936,routine,1032.12,175.46,1207.58,INV-66270289_VH-03.pdf
INV-26217459,2024-06-22,יוסי צמיגים ופרונט (בדיקה),VH-03,87-127-81,Hyundai i10,9037,routine,921.1,156.59,1077.69,INV-26217459_VH-03.pdf
INV-78091343,2024-06-30,מוסך המרכז (בדיקה),VH-03,87-127-81,Hyundai i10,11754,routine,646.69,109.94,756.63,INV-78091343_VH-03.pdf
INV-40050455,2023-04-13,מוסך המרכז (בדיקה),VH-03,87-127-81,Hyundai i10,13115,routine,705.84,119.99,825.83,INV-40050455_VH-03.pdf
INV-96937923,2023-07-04,מוסך המרכז (בדיקה),VH-03,87-127-81,Hyundai i10,14491,routine,533.54,90.7,624.24,INV-96937923_VH-03.pdf
INV-21759464,2024-04-21,יוסי צמיגים ופרונט (בדיקה),VH-03,87-127-81,Hyundai i10,16732,routine,923.85,157.05,1080.9,INV-21759464_VH-03.pdf
INV-59440640,2023-04-20,מוסך צי צפון (בדיקה),VH-03,87-127-81,Hyundai i10,18463,routine,687.24,116.83,804.07,INV-59440640_VH-03.pdf
INV-43953394,2024-09-12,יוסי צמיגים ופרונט (בדיקה),VH-03,87-127-81,Hyundai i10,20393,routine,1022.34,173.8,1196.14,INV-43953394_VH-03.pdf
INV-47095214,2024-10-04,עובד חלפים מקוריים (בדיקה),VH-03,87-127-81,Hyundai i10,22580,tires,2220.81,377.54,2598.35,INV-47095214_VH-03.pdf
INV-42474517,2024-01-10,מוסך העיר (בדיקה),VH-03,87-127-81,Hyundai i10,24568,lights,643.15,109.34,752.49,INV-42474517_VH-03.pdf
INV-85160481,2024-02-11,יואב חשמל ופנסים (בדיקה),VH-03,87-127-81,Hyundai i10,27307,spark_plugs,925.45,157.33,1082.78,INV-85160481_VH-03.pdf
INV-37098593,2024-10-15,מוסך צי צפון (בדיקה),VH-04,67-703-45,Chevrolet Spark,3310,routine,774.57,131.68,906.25,INV-37098593_VH-04.pdf
INV-20047113,2023-11-06,מוסך המרכז (בדיקה),VH-04,67-703-45,Chevrolet Spark,5431,routine,923.74,157.04,1080.78,INV-20047113_VH-04.pdf
INV-26179640,2024-07-07,מוסך המרכז (בדיקה),VH-04,67-703-45,Chevrolet Spark,7920,routine,752.6,127.94,880.54,INV-26179640_VH-04.pdf
INV-58506431,2024-01-07,יואב חשמל ופנסים (בדיקה),VH-04,67-703-45,Chevrolet Spark,11217,routine,591.07,100.48,691.55,INV-58506431_VH-04.pdf
INV-00532931,2024-10-19,יואב חשמל ופנסים (בדיקה),VH-04,67-703-45,Chevrolet Spark,13726,routine,1000.34,170.06,1170.4,INV-00532931_VH-04.pdf
INV-90422842,2023-12-03,יואב חשמל ופנסים (בדיקה),VH-04,67-703-45,Chevrolet Spark,16629,routine,485.34,82.51,567.85,INV-90422842_VH-04.pdf
INV-24026811,2023-09-01,עובד חלפים מקוריים (בדיקה),VH-04,67-703-45,Chevrolet Spark,18577,routine,926.93,157.58,1084.51,INV-24026811_VH-04.pdf
INV-90847007,2024-04-07,יוסי צמיגים ופרונט (בדיקה),VH-04,67-703-45,Chevrolet Spark,20315,routine,766.75,130.35,897.1,INV-90847007_VH-04.pdf
INV-59212499,2024-03-30,מוסך המרכז (בדיקה),VH-04,67-703-45,Chevrolet Spark,23445,routine,726.74,123.55,850.29,INV-59212499_VH-04.pdf
INV-61183673,2023-10-29,מוסך העיר (בדיקה),VH-04,67-703-45,Chevrolet Spark,25766,routine,727.85,123.73,851.58,INV-61183673_VH-04.pdf
INV-52711116,2023-11-17,יוסי צמיגים ופרונט (בדיקה),VH-04,67-703-45,Chevrolet Spark,28415,tires,1714.06,291.39,2005.45,INV-52711116_VH-04.pdf
INV-65604945,2023-12-04,יוסי צמיגים ופרונט (בדיקה),VH-04,67-703-45,Chevrolet Spark,31074,lights,387.32,65.84,453.16,INV-65604945_VH-04.pdf
INV-85149368,2023-04-21,יוסי צמיגים ופרונט (בדיקה),VH-04,67-703-45,Chevrolet Spark,33076,spark_plugs,1090.57,185.4,1275.97,INV-85149368_VH-04.pdf
INV-40244550,2023-01-27,מוסך העיר (בדיקה),VH-05,53-384-29,Hyundai i10,6305,routine,923.08,156.92,1080.0,INV-40244550_VH-05.pdf
INV-01836675,2023-05-26,יוסי צמיגים ופרונט (בדיקה),VH-05,53-384-29,Hyundai i10,8606,routine,768.32,130.61,898.93,INV-01836675_VH-05.pdf
INV-22901476,2024-09-02,מוסך העיר (בדיקה),VH-05,53-384-29,Hyundai i10,11365,routine,550.65,93.61,644.26,INV-22901476_VH-05.pdf
INV-49784036,2023-04-27,מוסך העיר (בדיקה),VH-05,53-384-29,Hyundai i10,13295,routine,699.15,118.86,818.01,INV-49784036_VH-05.pdf
INV-10762268,2023-05-21,יואב חשמל ופנסים (בדיקה),VH-05,53-384-29,Hyundai i10,14968,routine,908.53,154.45,1062.98,INV-10762268_VH-05.pdf
INV-06071596,2023-03-15,עובד חלפים מקוריים (בדיקה),VH-05,53-384-29,Hyundai i10,17688,routine,751.13,127.69,878.82,INV-06071596_VH-05.pdf
INV-29751613,2024-02-19,יוסי צמיגים ופרונט (בדיקה),VH-05,53-384-29,Hyundai i10,20599,routine,494.89,84.13,579.02,INV-29751613_VH-05.pdf
INV-21818835,2023-12-14,עובד חלפים מקוריים (בדיקה),VH-05,53-384-29,Hyundai i10,22351,routine,646.97,109.98,756.95,INV-21818835_VH-05.pdf
INV-32921277,2023-08-30,יואב חשמל ופנסים (בדיקה),VH-05,53-384-29,Hyundai i10,23762,routine,646.35,109.88,756.23,INV-32921277_VH-05.pdf
INV-55271774,2024-10-20,מוסך העיר (בדיקה),VH-05,53-384-29,Hyundai i10,26710,routine,885.0,150.45,1035.45,INV-55271774_VH-05.pdf
INV-41199867,2023-02-08,עובד חלפים מקוריים (בדיקה),VH-05,53-384-29,Hyundai i10,27957,tires,2820.37,479.46,3299.83,INV-41199867_VH-05.pdf
INV-59782071,2024-08-08,מוסך העיר (בדיקה),VH-05,53-384-29,Hyundai i10,30293,lights,649.09,110.35,759.44,INV-59782071_VH-05.pdf
INV-77889255,2023-02-10,יוסי צמיגים ופרונט (בדיקה),VH-05,53-384-29,Hyundai i10,31889,spark_plugs,1043.24,177.35,1220.59,INV-77889255_VH-05.pdf
INV-15186449,2023-02-23,מוסך העיר (בדיקה),VH-06,58-199-55,Chevrolet Spark,3144,routine,993.65,168.92,1162.57,INV-15186449_VH-06.pdf
INV-62914865,2023-12-25,יואב חשמל ופנסים (בדיקה),VH-06,58-199-55,Chevrolet Spark,6130,routine,930.78,158.23,1089.01,INV-62914865_VH-06.pdf
INV-68505423,2024-06-23,מוסך המרכז (בדיקה),VH-06,58-199-55,Chevrolet Spark,8513,routine,527.23,89.63,616.86,INV-68505423_VH-06.pdf
INV-18880592,2023-06-08,יואב חשמל ופנסים (בדיקה),VH-06,58-199-55,Chevrolet Spark,10239,routine,529.72,90.05,619.77,INV-18880592_VH-06.pdf
INV-06537947,2024-10-01,מוסך המרכז (בדיקה),VH-06,58-199-55,Chevrolet Spark,12763,routine,671.46,114.15,785.61,INV-06537947_VH-06.pdf
INV-97746886,2023-07-18,מוסך צי צפון (בדיקה),VH-06,58-199-55,Chevrolet Spark,15206,routine,949.57,161.43,1111.0,INV-97746886_VH-06.pdf
INV-58181412,2023-09-14,יואב חשמל ופנסים (בדיקה),VH-06,58-199-55,Chevrolet Spark,17580,routine,513.82,87.35,601.17,INV-58181412_VH-06.pdf
INV-50606853,2023-04-04,מוסך צי צפון (בדיקה),VH-06,58-199-55,Chevrolet Spark,20283,routine,507.03,86.2,593.23,INV-50606853_VH-06.pdf
INV-22047277,2023-04-12,עובד חלפים מקוריים (בדיקה),VH-06,58-199-55,Chevrolet Spark,22673,routine,715.56,121.65,837.21,INV-22047277_VH-06.pdf
INV-98614341,2023-06-03,יואב חשמל ופנסים (בדיקה),VH-06,58-199-55,Chevrolet Spark,25608,routine,983.75,167.24,1150.99,INV-98614341_VH-06.pdf
INV-08932460,2024-05-26,יוסי צמיגים ופרונט (בדיקה),VH-06,58-199-55,Chevrolet Spark,27899,tires,2195.72,373.27,2568.99,INV-08932460_VH-06.pdf
INV-88880670,2023-03-11,מוסך העיר (בדיקה),VH-06,58-199-55,Chevrolet Spark,30858,lights,446.94,75.98,522.92,INV-88880670_VH-06.pdf
INV-19520585,2023-12-20,יואב חשמל ופנסים (בדיקה),VH-06,58-199-55,Chevrolet Spark,32482,spark_plugs,979.05,166.44,1145.49,INV-19520585_VH-06.pdf
INV-21704303,2024-05-05,מוסך המרכז (בדיקה),VH-07,68-649-25,Skoda Octavia,1917,routine,863.63,146.82,1010.45,INV-21704303_VH-07.pdf
INV-34505415,2024-07-10,מוסך צי צפון (בדיקה),VH-07,68-649-25,Skoda Octavia,3616,routine,724.48,123.16,847.64,INV-34505415_VH-07.pdf
INV-75841616,2023-12-14,מוסך צי צפון (בדיקה),VH-07,68-649-25,Skoda Octavia,5785,routine,651.37,110.73,762.1,INV-75841616_VH-07.pdf
INV-44796275,2023-04-16,עובד חלפים מקוריים (בדיקה),VH-07,68-649-25,Skoda Octavia,7629,routine,712.73,121.16,833.89,INV-44796275_VH-07.pdf
INV-01658202,2024-03-21,מוסך העיר (בדיקה),VH-07,68-649-25,Skoda Octavia,10076,routine,795.45,135.23,930.68,INV-01658202_VH-07.pdf
INV-55690927,2023-03-10,יואב חשמל ופנסים (בדיקה),VH-07,68-649-25,Skoda Octavia,12792,routine,729.58,124.03,853.61,INV-55690927_VH-07.pdf
INV-54310278,2023-05-21,מוסך העיר (בדיקה),VH-07,68-649-25,Skoda Octavia,14711,routine,782.92,133.1,916.02,INV-54310278_VH-07.pdf
INV-47312172,2024-04-01,עובד חלפים מקוריים (בדיקה),VH-07,68-649-25,Skoda Octavia,17848,routine,564.15,95.91,660.06,INV-47312172_VH-07.pdf
INV-18844225,2023-11-24,מוסך המרכז (בדיקה),VH-07,68-649-25,Skoda Octavia,19729,routine,748.78,127.29,876.07,INV-18844225_VH-07.pdf
INV-95782911,2023-01-27,יואב חשמל ופנסים (בדיקה),VH-07,68-649-25,Skoda Octavia,21636,tires,2387.36,405.85,2793.21,INV-95782911_VH-07.pdf
INV-51778528,2024-08-11,עובד חלפים מקוריים (בדיקה),VH-07,68-649-25,Skoda Octavia,22988,lights,389.64,66.24,455.88,INV-51778528_VH-07.pdf
INV-42253584,2023-02-26,מוסך העיר (בדיקה),VH-08,83-296-18,Toyota Corolla,4652,routine,678.37,115.32,793.69,INV-42253584_VH-08.pdf
INV-98182992,2023-10-09,מוסך העיר (בדיקה),VH-08,83-296-18,Toyota Corolla,6501,routine,666.67,113.33,780.0,INV-98182992_VH-08.pdf
INV-01094396,2024-07-31,עובד חלפים מקוריים (בדיקה),VH-08,83-296-18,Toyota Corolla,8646,routine,696.41,118.39,814.8,INV-01094396_VH-08.pdf
INV-73647102,2023-10-24,מוסך העיר (בדיקה),VH-08,83-296-18,Toyota Corolla,10985,routine,758.69,128.98,887.67,INV-73647102_VH-08.pdf
INV-55625881,2023-05-28,מוסך העיר (בדיקה),VH-08,83-296-18,Toyota Corolla,13183,routine,649.28,110.38,759.66,INV-55625881_VH-08.pdf
INV-69632595,2023-05-25,יואב חשמל ופנסים (בדיקה),VH-08,83-296-18,Toyota Corolla,14182,routine,668.58,113.66,782.24,INV-69632595_VH-08.pdf
INV-16873395,2024-05-25,מוסך צי צפון (בדיקה),VH-08,83-296-18,Toyota Corolla,15842,routine,720.98,122.57,843.55,INV-16873395_VH-08.pdf
INV-01624565,2024-11-19,מוסך המרכז (בדיקה),VH-08,83-296-18,Toyota Corolla,17189,routine,696.15,118.35,814.5,INV-01624565_VH-08.pdf
INV-87849912,2024-07-20,עובד חלפים מקוריים (בדיקה),VH-08,83-296-18,Toyota Corolla,18222,routine,927.38,157.65,1085.03,INV-87849912_VH-08.pdf
INV-86800025,2023-05-28,מוסך צי צפון (בדיקה),VH-08,83-296-18,Toyota Corolla,19440,tires,3513.46,597.29,4110.75,INV-86800025_VH-08.pdf
INV-94958887,2023-11-23,מוסך העיר (בדיקה),VH-08,83-296-18,Toyota Corolla,20604,lights,571.48,97.15,668.63,INV-94958887_VH-08.pdf
INV-09749930,2024-03-02,יואב חשמל ופנסים (בדיקה),VH-08,83-296-18,Toyota Corolla,22391,spark_plugs,873.31,148.46,1021.77,INV-09749930_VH-08.pdf
INV-91307562,2023-06-01,מוסך צי צפון (בדיקה),VH-09,39-987-22,Skoda Octavia,2558,routine,883.88,150.26,1034.14,INV-91307562_VH-09.pdf
INV-28385786,2024-04-27,מוסך העיר (בדיקה),VH-09,39-987-22,Skoda Octavia,5528,routine,1065.41,181.12,1246.53,INV-28385786_VH-09.pdf
INV-49733484,2024-07-13,עובד חלפים מקוריים (בדיקה),VH-09,39-987-22,Skoda Octavia,8385,routine,672.27,114.29,786.56,INV-49733484_VH-09.pdf
INV-57584419,2023-08-01,עובד חלפים מקוריים (בדיקה),VH-09,39-987-22,Skoda Octavia,11306,routine,1159.19,197.06,1356.25,INV-57584419_VH-09.pdf
INV-15747338,2023-05-30,עובד חלפים מקוריים (בדיקה),VH-09,39-987-22,Skoda Octavia,12771,routine,648.84,110.3,759.14,INV-15747338_VH-09.pdf
INV-30833016,2024-09-22,יוסי צמיגים ופרונט (בדיקה),VH-09,39-987-22,Skoda Octavia,15433,routine,971.84,165.21,1137.05,INV-30833016_VH-09.pdf
INV-26773454,2023-01-06,יואב חשמל ופנסים (בדיקה),VH-09,39-987-22,Skoda Octavia,18954,routine,753.77,128.14,881.91,INV-26773454_VH-09.pdf
INV-02620672,2023-08-26,מוסך העיר (בדיקה),VH-09,39-987-22,Skoda Octavia,21949,routine,1198.74,203.79,1402.53,INV-02620672_VH-09.pdf
INV-15478872,2023-01-10,יוסי צמיגים ופרונט (בדיקה),VH-09,39-987-22,Skoda Octavia,24569,routine,696.96,118.48,815.44,INV-15478872_VH-09.pdf
INV-42054932,2023-12-05,יוסי צמיגים ופרונט (בדיקה),VH-09,39-987-22,Skoda Octavia,27548,routine,609.79,103.66,713.45,INV-42054932_VH-09.pdf
INV-22753046,2024-02-15,יוסי צמיגים ופרונט (בדיקה),VH-09,39-987-22,Skoda Octavia,30391,tires,1854.07,315.19,2169.26,INV-22753046_VH-09.pdf
INV-30174268,2024-10-31,יואב חשמל ופנסים (בדיקה),VH-09,39-987-22,Skoda Octavia,32553,lights,544.0,92.48,636.48,INV-30174268_VH-09.pdf
INV-33272795,2023-10-30,יוסי צמיגים ופרונט (בדיקה),VH-09,39-987-22,Skoda Octavia,34733,spark_plugs,845.63,143.76,989.39,INV-33272795_VH-09.pdf
INV-91878519,2023-08-12,מוסך המרכז (בדיקה),VH-10,30-479-55,Hyundai i10,5187,routine,668.84,113.7,782.54,INV-91878519_VH-10.pdf
INV-58713971,2024-08-09,יואב חשמל ופנסים (בדיקה),VH-10,30-479-55,Hyundai i10,6492,routine,749.81,127.47,877.28,INV-58713971_VH-10.pdf
INV-08740640,2024-06-09,יואב חשמל ופנסים (בדיקה),VH-10,30-479-55,Hyundai i10,8314,routine,634.64,107.89,742.53,INV-08740640_VH-10.pdf
INV-17046226,2023-03-07,עובד חלפים מקוריים (בדיקה),VH-10,30-479-55,Hyundai i10,11041,routine,887.29,150.84,1038.13,INV-17046226_VH-10.pdf
INV-82512868,2024-01-20,מוסך צי צפון (בדיקה),VH-10,30-479-55,Hyundai i10,13244,routine,662.13,112.56,774.69,INV-82512868_VH-10.pdf
INV-86863375,2023-11-02,יוסי צמיגים ופרונט (בדיקה),VH-10,30-479-55,Hyundai i10,15431,routine,831.22,141.31,972.53,INV-86863375_VH-10.pdf
INV-03311907,2023-02-02,יוסי צמיגים ופרונט (בדיקה),VH-10,30-479-55,Hyundai i10,17190,routine,717.21,121.93,839.14,INV-03311907_VH-10.pdf
INV-83028439,2023-02-15,מוסך המרכז (בדיקה),VH-10,30-479-55,Hyundai i10,18982,routine,801.67,136.28,937.95,INV-83028439_VH-10.pdf
INV-83644089,2023-08-31,עובד חלפים מקוריים (בדיקה),VH-10,30-479-55,Hyundai i10,21511,routine,879.1,149.45,1028.55,INV-83644089_VH-10.pdf
INV-56856624,2024-07-23,מוסך צי צפון (בדיקה),VH-10,30-479-55,Hyundai i10,22642,routine,745.88,126.8,872.68,INV-56856624_VH-10.pdf
INV-08668826,2023-05-28,יוסי צמיגים ופרונט (בדיקה),VH-10,30-479-55,Hyundai i10,25052,tires,1837.81,312.43,2150.24,INV-08668826_VH-10.pdf
INV-69901398,2023-07-15,יואב חשמל ופנסים (בדיקה),VH-10,30-479-55,Hyundai i10,26191,lights,473.33,80.47,553.8,INV-69901398_VH-10.pdf
INV-17393638,2023-08-05,מוסך צי צפון (בדיקה),VH-10,30-479-55,Hyundai i10,28822,spark_plugs,880.52,149.69,1030.21,INV-17393638_VH-10.pdf
INV-71753556,2024-01-04,עובד חלפים מקוריים (בדיקה),VH-11,91-275-78,Mazda 3,7950,routine,980.4,166.67,1147.07,INV-71753556_VH-11.pdf
INV-96423536,2023-09-25,יוסי צמיגים ופרונט (בדיקה),VH-11,91-275-78,Mazda 3,11012,routine,931.36,158.33,1089.69,INV-96423536_VH-11.pdf
INV-77725228,2023-12-12,מוסך המרכז (בדיקה),VH-11,91-275-78,Mazda 3,13737,routine,794.37,135.04,929.41,INV-77725228_VH-11.pdf
INV-10062312,2023-03-02,מוסך המרכז (בדיקה),VH-11,91-275-78,Mazda 3,15030,routine,780.71,132.72,913.43,INV-10062312_VH-11.pdf
INV-77008860,2024-10-15,מוסך העיר (בדיקה),VH-11,91-275-78,Mazda 3,18090,routine,870.61,148.0,1018.61,INV-77008860_VH-11.pdf
INV-62118233,2023-01-18,עובד חלפים מקוריים (בדיקה),VH-11,91-275-78,Mazda 3,20913,routine,844.53,143.57,988.1,INV-62118233_VH-11.pdf
INV-79334101,2023-03-22,מוסך צי צפון (בדיקה),VH-11,91-275-78,Mazda 3,24023,routine,731.96,124.43,856.39,INV-79334101_VH-11.pdf
INV-76591803,2023-01-10,מוסך המרכז (בדיקה),VH-11,91-275-78,Mazda 3,25586,routine,1074.03,182.59,1256.62,INV-76591803_VH-11.pdf
INV-48902503,2023-10-05,מוסך צי צפון (בדיקה),VH-11,91-275-78,Mazda 3,28627,routine,685.85,116.59,802.44,INV-48902503_VH-11.pdf
INV-96856218,2023-06-16,יוסי צמיגים ופרונט (בדיקה),VH-11,91-275-78,Mazda 3,30961,tires,2246.63,381.93,2628.56,INV-96856218_VH-11.pdf
INV-65047735,2024-09-20,יוסי צמיגים ופרונט (בדיקה),VH-11,91-275-78,Mazda 3,34062,lights,423.06,71.92,494.98,INV-65047735_VH-11.pdf
INV-94311426,2024-01-25,יוסי צמיגים ופרונט (בדיקה),VH-11,91-275-78,Mazda 3,35457,spark_plugs,1012.44,172.11,1184.55,INV-94311426_VH-11.pdf
INV-47541212,2023-04-20,עובד חלפים מקוריים (בדיקה),VH-12,58-376-91,Mazda 3,5232,routine,606.18,103.05,709.23,INV-47541212_VH-12.pdf
INV-19956046,2023-01-27,יוסי צמיגים ופרונט (בדיקה),VH-12,58-376-91,Mazda 3,7478,routine,669.79,113.86,783.65,INV-19956046_VH-12.pdf
INV-62244472,2024-08-08,יואב חשמל ופנסים (בדיקה),VH-12,58-376-91,Mazda 3,9301,routine,807.71,137.31,945.02,INV-62244472_VH-12.pdf
INV-37993712,2023-03-20,מוסך צי צפון (בדיקה),VH-12,58-376-91,Mazda 3,11313,routine,694.69,118.1,812.79,INV-37993712_VH-12.pdf
INV-69245937,2024-01-25,מוסך העיר (בדיקה),VH-12,58-376-91,Mazda 3,13757,routine,925.96,157.41,1083.37,INV-69245937_VH-12.pdf
INV-35646519,2024-10-10,עובד חלפים מקוריים (בדיקה),VH-12,58-376-91,Mazda 3,17412,routine,627.6,106.69,734.29,INV-35646519_VH-12.pdf
INV-37416724,2023-01-28,מוסך העיר (בדיקה),VH-12,58-376-91,Mazda 3,19906,routine,985.13,167.47,1152.6,INV-37416724_VH-12.pdf
INV-79688680,2023-03-17,מוסך צי צפון (בדיקה),VH-12,58-376-91,Mazda 3,23614,routine,936.06,159.13,1095.19,INV-79688680_VH-12.pdf
INV-13529096,2024-08-31,מוסך העיר (בדיקה),VH-12,58-376-91,Mazda 3,27147,routine,1109.13,188.55,1297.68,INV-13529096_VH-12.pdf
INV-88993756,2023-08-16,יוסי צמיגים ופרונט (בדיקה),VH-12,58-376-91,Mazda 3,29753,tires,2059.67,350.14,2409.81,INV-88993756_VH-12.pdf
INV-25457387,2023-03-29,עובד חלפים מקוריים (בדיקה),VH-12,58-376-91,Mazda 3,31453,spark_plugs,750.15,127.53,877.68,INV-25457387_VH-12.pdf
INV-51238282,2023-02-15,עובד חלפים מקוריים (בדיקה),VH-13,17-334-14,Chevrolet Spark,4238,routine,864.44,146.95,1011.39,INV-51238282_VH-13.pdf
INV-66093796,2024-10-06,מוסך צי צפון (בדיקה),VH-13,17-334-14,Chevrolet Spark,5973,routine,534.07,90.79,624.86,INV-66093796_VH-13.pdf
INV-82553714,2023-03-06,מוסך המרכז (בדיקה),VH-13,17-334-14,Chevrolet Spark,7527,routine,1157.01,196.69,1353.7,INV-82553714_VH-13.pdf
INV-91557924,2024-09-03,עובד חלפים מקוריים (בדיקה),VH-13,17-334-14,Chevrolet Spark,10170,routine,885.1,150.47,1035.57,INV-91557924_VH-13.pdf
INV-25286692,2023-05-01,עובד חלפים מקוריים (בדיקה),VH-13,17-334-14,Chevrolet Spark,12159,routine,613.42,104.28,717.7,INV-25286692_VH-13.pdf
INV-74225790,2024-10-22,מוסך העיר (בדיקה),VH-13,17-334-14,Chevrolet Spark,14682,routine,680.07,115.61,795.68,INV-74225790_VH-13.pdf
INV-76767721,2024-01-29,יואב חשמל ופנסים (בדיקה),VH-13,17-334-14,Chevrolet Spark,17099,routine,799.81,135.97,935.78,INV-76767721_VH-13.pdf
INV-27978819,2023-10-09,יוסי צמיגים ופרונט (בדיקה),VH-13,17-334-14,Chevrolet Spark,19585,routine,647.34,110.05,757.39,INV-27978819_VH-13.pdf
INV-78361340,2023-02-12,יואב חשמל ופנסים (בדיקה),VH-13,17-334-14,Chevrolet Spark,22546,tires,2557.4,434.76,2992.16,INV-78361340_VH-13.pdf
INV-95962923,2023-08-31,מוסך העיר (בדיקה),VH-13,17-334-14,Chevrolet Spark,24331,lights,549.38,93.39,642.77,INV-95962923_VH-13.pdf
INV-44948126,2023-06-22,יוסי צמיגים ופרונט (בדיקה),VH-13,17-334-14,Chevrolet Spark,26359,spark_plugs,1162.52,197.63,1360.15,INV-44948126_VH-13.pdf
INV-53672946,2023-05-16,מוסך המרכז (בדיקה),VH-14,18-316-82,Mazda 3,3570,routine,642.0,109.14,751.14,INV-53672946_VH-14.pdf
INV-57759017,2024-02-17,יוסי צמיגים ופרונט (בדיקה),VH-14,18-316-82,Mazda 3,6025,routine,1106.8,188.16,1294.96,INV-57759017_VH-14.pdf
